device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
29008762-0b10-4b38-8333-26fe5dd25d8d,CCR 1016 CENTRAL NAVEGANET,Navega Net,MikroTik RouterOS,160.19.44.103,15422,ajust,0,0
e0eca697-85dc-4d98-9cc3-6d70e0bf1013,BORDA,CNB Telecom,MikroTik RouterOS,177.36.0.240,15422,ajust,0,0
d0a4cff2-44ef-435e-ae1c-df702d8ff3c6,CCR 1009 XAREU,G5 - Jaboatão,MikroTik RouterOS,192.141.105.88,4002,ajust,0,0
91c46db6-bf9a-48ee-8dd4-5bc65a155911,CCR 1036 AUTENTICADOR GMAX,Gmax São Lourenço,MikroTik RouterOS,164.163.22.96,15422,ajust,0,0
434591dd-6ec1-49ac-bd9f-edcfb9a5a56f,OLT- FIBERHOME-PE-22,SofiaNet,OLT FiberHome,128.201.156.102,2330,GEPON,0,0
0c3db19a-d01b-42a9-bb5b-f1edebba4382,Autenticador Campina Grade,Vibe,MikroTik RouterOS,170.79.168.72,15422,ajust,0,0
290ee1b9-0871-4d64-be21-6e07a725feb5,OLT - HUAWEI - MA5600,Ponto Net,OLT Huawei,45.168.153.220,2200,root,0,0
c044e71e-01af-4afe-8a3f-db4d6dcef9cd,CGNAT CellNet,CellNet,MikroTik RouterOS,190.89.232.192,2279,ajust,0,0
fbb168ce-13c4-47cb-8833-54c9307544cf,CCR1036 - CGNAT,New Connect,MikroTik RouterOS,128.201.76.12,2223,ajust,0,0
6167cfc7-999a-4cf8-bb27-2b395f92808b,Autenticador PowerFlash - Catende,PowerFlash,MikroTik RouterOS,45.224.219.44,15422,ajust,0,0
d1f499f7-8172-4582-b741-585ef7f2c285,CCR 1036 AUT ULTRAFIBRA,UltraFibra,MikroTik RouterOS,45.186.54.32,9922,ajust,0,0
c36e3181-d289-4edd-b36c-56cd18012b5c,SW-CORE-DATACENTER,PlanaltoNet,Switch Huawei,10.12.255.202,23,ajust,0,0
5897d7f9-5a72-4741-89b2-83d0c09cdba8,CCR1009 - JBNET,SofiaNet,MikroTik RouterOS,128.201.156.54,2222,ajust,0,0
2645e918-d7d8-4277-b7c3-6f8c02940f74,Autenticador Ponte Digital,Tech Soluções,MikroTik RouterOS,179.63.12.32,15422,ajust,0,0
24add76d-2aa6-4545-b7e2-2239b4768af0,OLT HUAWEI - MURO ALTO,Um Fibra,OLT Huawei,179.124.141.44,23088,sgp-radius,0,0
ec27f11c-68a3-4c91-b963-5c381f46b007,Autenticador Jordao UP Connect,UP Connect Fibra,MikroTik RouterOS,179.48.12.10,22,ajust,0,0
8370a94b-3da3-4ec0-93e0-7637b4f813b8,CCR1036 - CGNAT,AF Telecom,MikroTik RouterOS,179.51.150.12,22221,ajust,0,0
3e7a69d4-6261-4fd9-a77c-eee6e26b4a51,AUTENTICADOR OLINDA,Cavalcanti Net,MikroTik RouterOS,45.179.131.240,15422,ajust,0,0
3eeb262f-fed4-4828-9b16-09be920b5d2c,Rb 4011 Paratibe,Real Net,MikroTik RouterOS,177.46.32.48,2222,ajustconsulting,0,0
9178c0a0-60fa-46c2-aee0-72887af2129b,AUTENTICADOR FORTE NET,Forte Net,MikroTik RouterOS,168.194.15.78,15422,ajust,0,0
732a3305-c35c-4653-ade6-0d576c21b035,CGNAT BOMBA,Voo Telecom,MikroTik RouterOS,187.62.76.2,22,ajustconsulting,0,0
52187f2d-72b6-4a73-941b-071c536be3d3,RB CGNAT G5 JABOATÃO,G5 - Jaboatão,MikroTik RouterOS,192.141.105.192,15422,ajust,0,0
9217e694-434f-4ef0-8762-cbc4f0d67459,PROLINK-AUTENTICADOR-ROSARINHO,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.142.137,15422,ajust,0,0
af87cefd-7ef4-4458-9ba1-b00ca83527f2,BORDA-CGNAT-CCR2004-1G-12S+2XS,LL Telecom - Cliente Cancelado,MikroTik RouterOS,45.232.190.160,15422,ajust,0,0
25af46ef-9603-4e82-93de-c1b74f77342d,CGNAT AGILITY,TC+ Fibra (Agility),MikroTik RouterOS,164.163.20.18,15422,ajust,0,0
3cadd3d4-1777-4812-b9cf-1a05cf70d021,AUTENTICADOR FOX NET CCR 2116,Fox Net,MikroTik RouterOS,45.191.105.255,15422,ajust,0,0
